episode_num,cumulative_reward,mean_reward,cumulative_power_consumption,mean_power_consumption,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_power_penalty,mean_power_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,length(timesteps),time_elapsed(seconds)
0,-5340.910278278179,-1.738577564543678,23905939.31070757,7781.88128603762,-9766.38479908931,-3.1791617184535514,-2390.593931070757,-0.7781881286037621,50.130208333333336,3.1791617184535514,14.6344296238567,9766.38479908931,3072,2764800
1,-4072.860389940563,-1.325800908183777,25935777.250444084,8442.635823712268,-6291.784387284793,-2.048106896902602,-2593.577725044409,-0.8442635823712269,44.95442708333333,2.048106896902602,5.245065514309908,6291.784387284793,3072,2764800
2,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
3,-3304.8374919830917,-1.0757934544215793,24829007.476215944,8082.3592044973775,-4537.742608525337,-1.4771297553793417,-2482.9007476215947,-0.8082359204497379,80.53385416666666,1.4771297553793417,1.6053003539627795,4537.742608525337,3072,2764800
4,-3304.8374919830917,-1.0757934544215793,24829007.476215944,8082.3592044973775,-4537.742608525337,-1.4771297553793417,-2482.9007476215947,-0.8082359204497379,80.53385416666666,1.4771297553793417,1.6053003539627795,4537.742608525337,3072,2764800
5,-3816.8076213134545,-1.2424503975629735,28027108.00039482,9123.407552211856,-5337.952853224414,-1.7376148610756557,-2802.710800039482,-0.9123407552211855,37.27213541666667,1.7376148610756557,11.930823443771411,5337.952853224414,3072,2764800
6,-3546.596651099605,-1.1544910973631526,28047350.859172314,9129.997024470154,-4659.388998873164,-1.5167281897373581,-2804.735085917232,-0.9129997024470157,37.56510416666667,1.5167281897373581,5.34519374312018,4659.388998873164,3072,2764800
7,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
8,-2288.6326575679213,-0.7449976098853911,28422493.640430115,9252.113815244178,-1458.2075978552857,-0.4746769524268508,-2842.249364043011,-0.9252113815244177,10.481770833333332,0.4746769524268508,1.7749365607876542,1458.2075978552857,3072,2764800
9,-2288.6326575679213,-0.7449976098853911,28422493.640430115,9252.113815244178,-1458.2075978552857,-0.4746769524268508,-2842.249364043011,-0.9252113815244177,10.481770833333332,0.4746769524268508,1.7749365607876542,1458.2075978552857,3072,2764800
10,-3902.30242840472,-1.2702807384129948,27384500.44555349,8914.22540545361,-5648.081004178775,-1.8385680352144451,-2738.450044555349,-0.891422540545361,38.50911458333333,1.8385680352144451,8.443661232358972,5648.081004178775,3072,2764800
11,-3600.0239066637128,-1.171882782117094,28149749.92017532,9163.330052140403,-4777.597278632983,-1.5552074474716742,-2814.974992017532,-0.9163330052140403,35.546875,1.5552074474716742,6.422469441435047,4777.597278632983,3072,2764800
12,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
13,-2320.2544232540013,-0.7552911534029952,29180745.609660413,9498.940628144666,-1423.5242166859407,-0.46338678928578797,-2918.0745609660416,-0.9498940628144666,11.751302083333332,0.46338678928578797,1.6011359940780219,1423.5242166859407,3072,2764800
14,-2320.2544232540013,-0.7552911534029952,29180745.609660413,9498.940628144666,-1423.5242166859407,-0.46338678928578797,-2918.0745609660416,-0.9498940628144666,11.751302083333332,0.46338678928578797,1.6011359940780219,1423.5242166859407,3072,2764800
15,-3121.2786068575338,-1.01604121316977,29040574.014959425,9453.311853827938,-3447.110414899921,-1.1221062548502347,-2904.057401495943,-0.9453311853827939,32.25911458333333,1.1221062548502347,3.146202010987665,3447.110414899921,3072,2764800
16,-2980.304268406382,-0.9701511290385358,29736098.48382455,9679.719558536637,-2990.3458984422714,-0.9734198888158435,-2973.6098483824553,-0.9679719558536638,30.436197916666668,0.9734198888158435,2.883956795465452,2990.3458984422714,3072,2764800
17,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
18,-2282.327573245375,-0.7429451735824788,31389056.905688368,10217.791961487099,-997.460397260183,-0.3246941397331325,-3138.9056905688367,-1.02177919614871,8.7890625,0.3246941397331325,1.366026852712515,997.460397260183,3072,2764800
19,-2282.327573245375,-0.7429451735824788,31389056.905688368,10217.791961487099,-997.460397260183,-0.3246941397331325,-3138.9056905688367,-1.02177919614871,8.7890625,0.3246941397331325,1.366026852712515,997.460397260183,3072,2764800
20,-3159.975454934879,-1.028637843403281,29414470.874264967,9575.023071049794,-3487.7680061974534,-1.1353411478507336,-2941.447087426496,-0.9575023071049792,31.901041666666668,1.1353411478507336,5.501209814246243,3487.7680061974534,3072,2764800
21,-3035.4535057103176,-0.9881033547234107,29411197.685908236,9573.957580048254,-3176.9541113895593,-1.034164749801289,-2941.1197685908237,-0.9573957580048255,31.4453125,1.034164749801289,2.6330836009528977,3176.9541113895593,3072,2764800
22,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
23,-2187.1953492158764,-0.711977652739543,31338845.591536004,10201.44713266146,-767.1615343092903,-0.24972706194963878,-3133.884559153601,-1.020144713266146,9.733072916666668,0.24972706194963878,0.9308022549618408,767.1615343092903,3072,2764800
24,-2187.1953492158764,-0.711977652739543,31338845.591536004,10201.44713266146,-767.1615343092903,-0.24972706194963878,-3133.884559153601,-1.020144713266146,9.733072916666668,0.24972706194963878,0.9308022549618408,767.1615343092903,3072,2764800
25,-2903.8226345672642,-0.9452547638565313,30181946.881120432,9824.852500364725,-2732.264554250096,-0.8894090345866198,-3018.194688112043,-0.9824852500364724,28.157552083333332,0.8894090345866198,2.876726465539196,2732.264554250096,3072,2764800
26,-2968.6988488387397,-0.9663733231896939,28859819.590151493,9394.472522835773,-3092.7741835741244,-1.0067624295488686,-2885.9819590151496,-0.9394472522835774,32.68229166666667,1.0067624295488686,1.9873459086175822,3092.7741835741244,3072,2764800
27,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
28,-2177.4377120882195,-0.708801338570384,30298280.391549423,9862.721481624161,-898.852221488135,-0.29259512418233563,-3029.828039154943,-0.9862721481624163,8.170572916666668,0.29259512418233563,1.2442231938657922,898.852221488135,3072,2764800
29,-2177.4377120882195,-0.708801338570384,30298280.391549423,9862.721481624161,-898.852221488135,-0.29259512418233563,-3029.828039154943,-0.9862721481624163,8.170572916666668,0.29259512418233563,1.2442231938657922,898.852221488135,3072,2764800
30,-2872.7228266088687,-0.9351311284534077,29858808.81321363,9719.664327217979,-2702.985744540127,-0.8798781720508226,-2985.880881321363,-0.971966432721798,28.61328125,0.8798781720508226,2.5106199116874937,2702.985744540127,3072,2764800
31,-2893.523952594567,-0.941902328318544,29527704.635787986,9611.883019462235,-2804.65418611822,-0.9129733678770248,-2952.7704635787986,-0.9611883019462235,31.15234375,0.9129733678770248,1.9181407050333223,2804.65418611822,3072,2764800
32,0.0,nan,0.0,nan,0.0,nan,0.0,nan,nan,nan,nan,0.0,0,0
33,-2151.5742804370834,-0.7003822527464464,31768463.25925633,10341.296633872504,-613.6662122042592,-0.19976113678524063,-3176.846325925633,-1.0341296633872503,6.477864583333333,0.19976113678524063,0.8685948910330377,613.6662122042592,3072,2764800
34,-2151.5742804370834,-0.7003822527464464,31768463.25925633,10341.296633872504,-613.6662122042592,-0.19976113678524063,-3176.846325925633,-1.0341296633872503,6.477864583333333,0.19976113678524063,0.8685948910330377,613.6662122042592,3072,2764800
35,-2725.5819984678456,-0.8872337234595852,30486967.77055438,9924.143154477337,-2240.9098305864572,-0.7294628354773623,-3048.6967770554384,-0.9924143154477338,27.701822916666668,0.7294628354773623,1.5254496315033326,2240.9098305864572,3072,2764800
36,-1044.1999000099197,-1.0197264648534372,12824450.058531126,12523.877010284303,-686.8322412451305,-0.6707346105909477,-1282.4450058531124,-1.2523877010284301,25.1953125,0.6707346105909477,1.4406029482838296,686.8322412451305,1024,921600
